,0,Victim Type
123,FAILURE TO DISPERSE,Public
124,"DRUGS, TO A MINOR",Public
125,"MANSLAUGHTER, NEGLIGENT",Person
126,BRIBERY,Property
127,PETTY THEFT - AUTO REPAIR,Property
128,CONSPIRACY,Justice
129,DISHONEST EMPLOYEE ATTEMPTED THEFT,Property
130,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO),Justice
131,INCITING A RIOT,Public
132,TELEPHONE PROPERTY - DAMAGE,Property
133,BIGAMY,Sexual Offences
134,ABORTION/ILLEGAL,
135,TILL TAP - ATTEMPT,Property
136,DRUNK ROLL - ATTEMPT,Property
137,TILL TAP - GRAND THEFT ($950.01 & OVER),Property
