crm_cd_desc,Invest Cont,UNK,Arrested,Other,Total Crimes,Proportion Arrested,Proportion Unknown,Proportion Continuing,Proportion of Total Crimes
RESISTING ARREST,263.0,0.0,241.0,66.0,570.0,42.28,0.0,46.14,0.15
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,443.0,0.0,731.0,544.0,1718.0,42.55,0.0,25.79,0.44
INTIMATE PARTNER - AGGRAVATED ASSAULT,632.0,0.0,1235.0,1007.0,2874.0,42.97,0.0,21.99,0.74
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,157.0,0.0,133.0,14.0,304.0,43.75,0.0,51.64,0.08
BRIBERY,2.0,0.0,2.0,0.0,4.0,50.0,0.0,50.0,0.0
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",1.0,0.0,1.0,0.0,2.0,50.0,0.0,50.0,0.0
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,122.0,0.0,163.0,28.0,313.0,52.08,0.0,38.98,0.08
PANDERING,29.0,0.0,37.0,3.0,69.0,53.62,0.0,42.03,0.02
CRIMINAL HOMICIDE,216.0,0.0,311.0,31.0,558.0,55.73,0.0,38.71,0.14
LYNCHING,1.0,0.0,8.0,2.0,11.0,72.73,0.0,9.09,0.0
CONSPIRACY,1.0,0.0,7.0,1.0,9.0,77.78,0.0,11.11,0.0
BIGAMY,0.0,0.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0
